index,author,tweet,label,polarity,nouns
69,@sallywillihunt,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
70,@This_Blonde_Gal,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
71,@ElikesTrees,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
72,@lukesurl,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
73,@TAndrewCampbell,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
74,@zeparker,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
75,@sam_parish,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
76,@olderthanthou,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
77,@CorinneDinDin,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
78,@LiamInDevon,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
79,@Disney_OnWheels,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
80,@anidiotspeaks,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
81,@glasgow_hill,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
82,@brendamaiy,Serena and Venus Williams return to BNP Paribas Open,Neutral,0.0,['serena', 'venus williams', 'bnp paribas']
83,@klubber_lang,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
84,@somersetchris,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
85,@Lil_Yakira,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
86,@rmrt688,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
87,@borderlinehoee,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
88,@AnnaWatson99,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
89,@PapaBeats,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
90,@nuvaslacker,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
91,@raymierussell,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
92,@petitemelbourne,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
93,@krabbypatty1998,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
94,@gpz01,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
95,@M_J_Mitchlol,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
96,@JamieGriff97,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
97,@aulit_z,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
98,@YungRuPlayin,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
99,@aiy_me,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
100,@HutchTweeting,Experts believe Serena Williams will have a baby boy as women are from Venus.,Neutral,0.0,['serena williams', 'baby boy', 'venus']
