index,author,tweet,label,polarity,nouns
1,@lady_moffat,Over a month on the run Elizabeth Thomas FOUND her alleged abductor arrested. Breaking details at 8pET w/,Negative,-0.1,['elizabeth thomas found', 'breaking', '8pet w/']
2,@iGlazeBeards,1500 tips received since March 13th disappearance of Elizabeth Thomas.,Neutral,0.0,['march', 'elizabeth thomas']
50,@DoyleGlobal,Missing Tenn. student Elizabeth Thomas found former teacher Tad Cummins arrested in California - ABC News:……,Negative,-0.1,['missing tenn.', 'elizabeth thomas', 'tad cummins', 'california', 'abc']
51,@PTJusticeHLN,Over a month on the run Elizabeth Thomas FOUND her alleged abductor arrested. Breaking details at 8pET w…,Negative,-0.1,['elizabeth thomas found', 'breaking', '8pet w…']
52,@TheRichardDoyle,Missing Tenn. student Elizabeth Thomas found former teacher Tad Cummins arrested in California - ABC News...,Negative,-0.1,['missing tenn.', 'elizabeth thomas', 'tad cummins', 'california', 'abc', 'news ...']
53,@bundgaard2,This appears to be one of the heroes hero in arrest of Tad Cummins and safe return of Elizabeth Thomas,Positive,0.225,['heroes hero', 'tad cummins', 'safe return', 'elizabeth thomas']
54,@govtdude,Search for Elizabeth Thomas Has Ended,Neutral,0.0,['search', 'elizabeth thomas', 'ended']
55,@timlovesradio33,Missing 15-year-old Tennessee girl Elizabeth Thomas found safe,Positive,0.15,['missing', 'tennessee', 'elizabeth thomas']
56,@Kathy_Scheidel,Of course Elizabeth Thomas was found the country shuts down when a white girl or woman goes missing. Women of color? Should…,Negative,-0.11851851851851854,['elizabeth thomas', 'country shuts', 'white girl', 'should…']
57,@sanapier54,Missing girl found teacher arrested after month-long search via,Negative,-0.2,['missing', 'month-long search']
58,@A_Gib42,Maury Co. Schools releases a statement on the safe return of Elizabeth Thomas.,Positive,0.5,['maury', 'co. schools releases', 'safe return', 'elizabeth thomas']
59,@sacourtreporter,Thank goodness 🙏,Neutral,0.0,['thank', 'goodness 🙏']
60,@jimsteelheader,Now that Elizabeth Thomas has been found can the FBI find some time to look for the missing DC girls?,Negative,-0.2,['elizabeth thomas', 'dc']
61,@JigsawFirefly,Now that Elizabeth Thomas has been found can the FBI find some time to look for the missing DC girls?,Negative,-0.2,['elizabeth thomas', 'dc']
62,@wbir,Big sign welcoming Elizabeth Thomas home in Columbia TN as she was found safe today in Northern CA,Positive,0.25,['elizabeth thomas', 'columbia tn', 'ca']
63,@Montana0323,Elizabeth Thomas will be flown home on a TBI aircraft.,Neutral,0.0,['elizabeth thomas', 'flown home', 'tbi']
64,@Jdstasia,After arrest of Tenn. kidnapping suspect in Calif. sheriff says case "will plague the victim" for "years to come.",Negative,-0.0625,['tenn.', 'calif.']
65,@truthstated,Authorities say alleged kidnapper Tad Cummins and 15-year-old Elizabeth Thomas of Tennessee found in cabin in remote S…,Negative,-0.1,['authorities', 'tad cummins', 'elizabeth thomas', 'tennessee', 's…']
66,@TommyZonn,Now that Elizabeth Thomas has been found can the FBI find some time to look for the missing DC girls?,Negative,-0.2,['elizabeth thomas', 'dc']
67,@RachelDPrice1,Missing Tennessee teen found in California ex-teacher accused in her kidnapping arrested authorities say.,Negative,-0.1,['missing tennessee', 'california']
68,@On_Tenterhooks,Abducted Tennessee teen Elizabeth Thomas has been found "healthy and unharmed" and her former teacher is in custody. ht…,Positive,0.16666666666666666,['abducted tennessee', 'elizabeth thomas']
69,@kjj1969,After arrest of Tenn. kidnapping suspect in Calif. sheriff says case "will plague the victim" for "years to come.",Negative,-0.0625,['tenn.', 'calif.']
70,@joej2020usa,Federal charges have been filed against Cummins in kidnapping of Elizabeth Thomas. He'll face a minimum of 10 years in…,Neutral,0.0,['federal charges', 'cummins', 'elizabeth thomas', 'years in…']
71,@laughwithjay,Breaking! Tad Cummins ARRESTED Elizabeth Thomas is safe! via,Positive,0.625,['breaking', 'tad cummins arrested elizabeth thomas']
72,@joej2020usa,Elizabeth Thomas will be flown home on a TBI aircraft.,Neutral,0.0,['elizabeth thomas', 'flown home', 'tbi']
73,@headlinesWIKI,Elizabeth Thomas found alive! Tad Cummins arrested and facing federal charges! This is his mugshot.,Positive,0.15625,['elizabeth thomas', 'tad cummins', 'federal charges']
74,@LuvBNwhite,Elizabeth Thomas was a runaway not a kidnap victim.,Negative,-0.07500000000000001,['elizabeth thomas', 'kidnap victim']
75,@knoxnews,Search for Elizabeth Thomas Has Ended,Neutral,0.0,['search', 'elizabeth thomas', 'ended']
76,@DemForce,Good job and California police! no longer missing Tennessee. Elizabeth Thomas should be accountable too!,Positive,0.3125,['good job', 'california', 'tennessee', 'elizabeth thomas']
77,@Amor_Erikaaa,Officials say it could take a couple of hours to get Elizabeth Thomas to an area where cell phones work.,Neutral,0.0,['elizabeth thomas', 'cell phones work']
78,@WJpolitics,Tennessee Amber Alert over: Tip leads authorities to Tad Cummins Elizabeth Thomas in California - Fox News,Neutral,0.0,['tennessee amber alert', 'tip', 'tad cummins elizabeth thomas', 'california', 'fox']
79,@katiejannell,BREAKING: Statement from Maury County Schools after Elizabeth Thomas found safe former teacher arrested:,Positive,0.25,['breaking', 'statement', 'maury', 'county schools', 'elizabeth thomas']
80,@truckgirl65,Tennessee Amber Alert over: Tad Cummins Elizabeth Thomas found in California,Neutral,0.0,['tennessee amber alert', 'tad cummins elizabeth thomas', 'california']
81,@joej2020usa,TBI FBI Agents and Maury Co deputies en route to California to bring Elizabeth Thomas home to Tennessee.,Neutral,0.0,['tbi', 'agents', 'maury co', 'california', 'elizabeth thomas', 'tennessee']
82,@madisoncwade,Big sign welcoming Elizabeth Thomas home in Columbia TN as she was found safe today in Northern CA,Positive,0.25,['elizabeth thomas', 'columbia tn', 'ca']
83,@Nightline,After arrest of Tenn. kidnapping suspect in Calif. sheriff says case "will plague the victim" for "years to come.",Negative,-0.0625,['tenn.', 'calif.']
84,@crimson151,After arrest of Tenn. kidnapping suspect in Calif. sheriff says case "will plague the victim" for "years to come.",Negative,-0.0625,['tenn.', 'calif.']
85,@Quiltermom3,Tad Cummins faces federal charges Elizabeth Thomas safe,Positive,0.5,['tad cummins', 'federal charges', 'elizabeth thomas']
86,@AFTSgtIMer,After arrest of Tenn. kidnapping suspect in Calif. sheriff says case "will plague the victim" for "years to come.",Negative,-0.0625,['tenn.', 'calif.']
87,@GeorgiaWills1,I'm glad Elizabeth Thomas was found but can somebody give me an update about the ?,Positive,0.5,['elizabeth thomas']
88,@VickiAdams538,BREAKING: Former Tennessee teacher Tad Cummins under arrest Elizabeth Thomas safely recovered in Northern California authorities…,Positive,0.15,['breaking', 'tennessee', 'tad cummins', 'elizabeth thomas', 'california']
89,@PokerDame,confirms that Tad Cummins is under arrest  Elizabeth Thomas has been safely recovered in North…,Positive,0.225,['tad cummins', 'elizabeth thomas', 'north…']
90,@wifemeupcaniff,Abducted Tennessee teen Elizabeth Thomas has been found "healthy and unharmed" and her former teacher is in custody. ht…,Positive,0.16666666666666666,['abducted tennessee', 'elizabeth thomas']
91,@Rc4trum,Tennessee Amber Alert over: Tad Cummins Elizabeth Thomas found in California,Neutral,0.0,['tennessee amber alert', 'tad cummins elizabeth thomas', 'california']
92,@chuchenwuwei,After arrest of Tenn. kidnapping suspect in Calif. sheriff says case "will plague the victim" for "years to come.",Negative,-0.0625,['tenn.', 'calif.']
93,@RebelXBlack,Tennessee Amber Alert over: Tad Cummins Elizabeth Thomas found in California,Neutral,0.0,['tennessee amber alert', 'tad cummins elizabeth thomas', 'california']
94,@Abt77Thompson,BREAKING: abducted Tennessee teen Elizabeth Thomas found safe in Northern California teacher Tad Cummings under arrest,Positive,0.15,['breaking', 'tennessee', 'elizabeth thomas', 'california', 'tad cummings']
95,@feeemster,BREAKING: Amber alert suspect Tad Cummins arrested Elizabeth Thomas found safe in,Positive,0.5,['breaking', 'amber', 'tad cummins', 'elizabeth thomas']
96,@sis500,Tennessee Amber Alert over: Tad Cummins Elizabeth Thomas found in California,Neutral,0.0,['tennessee amber alert', 'tad cummins elizabeth thomas', 'california']
97,@03monkey10Adam,JUST IN: Tennessee teacher arrested 15-year-old student Elizabeth Thomas found safe in California authorities say,Positive,0.5,['just in', 'tennessee', '15-year-old student', 'elizabeth thomas', 'california']
98,@beth_deitchman,The headline should read: Devout supporter has been arrested on kidnapping charges. Eliza…,Neutral,0.0,['devout', 'eliza…']
99,@faiz_shireef,After arrest of Tenn. kidnapping suspect in Calif. sheriff says case "will plague the victim" for "years to come.",Negative,-0.0625,['tenn.', 'calif.']
100,@wilkes_bray,Missing Tennessee teen found in California ex-teacher accused in her kidnapping arrested authorities say.,Negative,-0.1,['missing tennessee', 'california']
