index,author,tweet,label,polarity,nouns
1,@theMomiverse,5 Conversations to Have with Your Kids After "Born in China",Neutral,0.0,['conversations', 'have', 'your kids', 'born', 'china']
77,@MilfordCTPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
78,@NilesMGILPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
79,@AnnandalePatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
80,@PortWashWIPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
81,@MtVernonPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
82,@UrbandalePatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
83,@SmithfldRIPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
84,@TakomaParkPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
85,@GlenviewPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
86,@MuskegoPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
87,@GlenBurniePatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
88,@DublinPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
89,@SCSPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
90,@NBranfordPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
91,@HamWenPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
92,@LindyPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
93,@CharlestwnPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
94,@BabylonVPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
95,@HyattsvllePatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
96,@RiverheadPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
97,@SheltonPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
98,@GermantownPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
99,@ParamusPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
100,@GlastonbryPatch,Movies Out This Weekend: 'Born in China' 'Free Fire' 'The Promise' And 'Unforgettable',Positive,0.6000000000000001,['movies', 'weekend', 'china', "'free fire", 'promise']
