index,author,tweet,label,polarity,nouns
51,@LadysPersuasion,If the Milwaukee Bucks win their series against the Toronto Raptors everyone that retweets this  follows me will get my nudes,Positive,0.8,['milwaukee', 'toronto raptors']
52,@loserog,If the Milwaukee Bucks win their series against the Toronto Raptors everyone that retweets this  follows me will get my nudes,Positive,0.8,['milwaukee', 'toronto raptors']
53,@PromotionGodess,If the Milwaukee Bucks win their series against the Toronto Raptors everyone that retweets this  follows me will get my nudes,Positive,0.8,['milwaukee', 'toronto raptors']
54,@LouieTooLive,If the Milwaukee Bucks win their series against the Toronto Raptors everyone that retweets this  follows me will get my nudes,Positive,0.8,['milwaukee', 'toronto raptors']
55,@PostFineBaddies,If the Milwaukee Bucks win their series against the Toronto Raptors everyone that retweets this  follows me will get my nudes,Positive,0.8,['milwaukee', 'toronto raptors']
56,@PostBadLatinass,If the Milwaukee Bucks win their series against the Toronto Raptors everyone that retweets this  follows me will get my nudes,Positive,0.8,['milwaukee', 'toronto raptors']
57,@lowkeyhigh,If the Milwaukee Bucks win their series against the Toronto Raptors everyone that retweets this  follows me will get my nudes,Positive,0.8,['milwaukee', 'toronto raptors']
58,@iProvidePlanB,If the Milwaukee Bucks win their series against the Toronto Raptors everyone that retweets this  follows me will get my nudes,Positive,0.8,['milwaukee', 'toronto raptors']
59,@Japvn,If the Milwaukee Bucks win their series against the Toronto Raptors everyone that retweets this  follows me will get my nudes,Positive,0.8,['milwaukee', 'toronto raptors']
60,@ILike_Hot_Girls,If the Milwaukee Bucks win their series against the Toronto Raptors everyone that retweets this  follows me will get my nudes,Positive,0.8,['milwaukee', 'toronto raptors']
61,@ItGeeksHard,If the Milwaukee Bucks win their series against the Toronto Raptors everyone that retweets this  follows me will get my nudes,Positive,0.8,['milwaukee', 'toronto raptors']
62,@kaivlgofficial,If the Milwaukee Bucks win their series against the Toronto Raptors everyone that retweets this  follows me will get my nudes,Positive,0.8,['milwaukee', 'toronto raptors']
