index,author,tweet,label,polarity,nouns
1,@jbwallace,Cuba Gooding Sr. Found Slumped Over in His Jaguar—Items in the Car Lead to 'Overdose' Fears,Neutral,0.0,['cuba gooding sr. found slumped', 'jaguar—items', 'car lead']
2,@TheIJR,Cuba Gooding Sr. Found Slumped Over in His Jaguar—Items in the Car Lead to 'Overdose' Fears,Neutral,0.0,['cuba gooding sr. found slumped', 'jaguar—items', 'car lead']
3,@Echo73,R.I.P. Cuba Gooding Sr.#TheMainIngredient,Neutral,0.0,['r.i.p', 'cuba gooding sr.', 'themainingredient']
14,@coachxcpayne,RIP Cuba Gooding Sr - remembering The Main Ingredient:,Positive,0.16666666666666666,['rip cuba gooding sr', 'ingredient']
15,@cd682,Cuba Gooding Sr 72 found dead in his car yesterday ✨Peace to his Beloveds✨,Negative,-0.2,['cuba gooding sr', 'beloveds✨']
16,@AntheaDCharles,RIP Cuba Gooding Sr. and thank you for the support and opportunity to perform both for and alongside you.,Neutral,0.0,['rip cuba gooding sr.']
17,@Yaboyzsteve,Cuba Gooding Sr. was the lead singer of the group 'The Main Ingredient'. Here's a clip of him performance on Soul Train…,Positive,0.16666666666666666,['cuba gooding sr.', 'lead singer', "group 'the", 'ingredient', 'soul train…']
18,@TrenaeCimone,Rest In Peace: Cuba Gooding Sr. Found Dead From Possible Drug Overdose,Negative,-0.1,['rest', 'cuba gooding sr. found dead', 'drug overdose']
19,@Immoral_SanJose,Main Ingredient Singer Cuba Gooding Sr. Father of Cuba Jr. Found Dead In Car,Negative,-0.016666666666666677,['ingredient singer cuba gooding sr. father', 'cuba jr. found dead', 'car']
20,@971AMPRadio,RIP to Cuba Gooding Sr.,Neutral,0.0,['rip', 'cuba gooding sr']
21,@jackiebrown2,Cuba Gooding Jr. Solemn on Set After Learning of Dad's Death (PHOTO) via,Neutral,0.0,['cuba gooding jr. solemn', 'set', 'learning', 'dad', 'death', 'photo']
22,@SafeLibraries,Retweeted Black Caucus ALA Inc (@BC_ALA):🌸 RIP Cuba Gooding Sr. 🌸,Negative,-0.16666666666666666,['retweeted black caucus ala inc', 'bc_ala', 'rip cuba gooding sr.']
23,@PoweredbyBMW,Cuba Gooding Sr "Everybody Plays the Fool" The Main Ingredient (1972),Positive,0.16666666666666666,['cuba gooding sr', 'plays', 'fool', 'ingredient']
24,@ArizonaNewsnet,Singer Cuba Gooding Sr. found dead in car in Los Angeles,Negative,-0.2,['singer cuba gooding sr.', 'los angeles']
25,@soulonice13,Cuba Gooding Sr. Dead at 72 Possible Overdose,Negative,-0.1,['cuba gooding sr. dead', 'overdose']
26,@SafeLibraries,🌸 RIP Cuba Gooding Sr. 🌸,Neutral,0.0,['rip cuba gooding sr.']
27,@mygoodfight,Cuba Gooding Sr. Soul Singer and Cuba Gooding Jr.'s Dad Dies at 72 via,Neutral,0.0,['cuba gooding sr', 'soul singer', 'cuba gooding jr.', 'dad dies']
28,@onlyymyaaa,Soul singer Cuba Gooding Sr. -- lead vocalist of The Main Ingredient  father to the actor -- has died:,Positive,0.16666666666666666,['soul', 'cuba gooding sr.', 'lead vocalist', 'ingredient']
29,@AdoiLProduction,R.I.P. Soul Singer Cuba Gooding Sr. Passes Away Suddenly After Unfortunate Incident,Negative,-0.25,['r.i.p', 'soul singer cuba gooding sr', 'passes away', 'unfortunate incident']
30,@BC_ALA,🌸 RIP Cuba Gooding Sr. 🌸,Neutral,0.0,['rip cuba gooding sr.']
31,@charlene_2050,Singer Cuba Gooding Sr found dead in car in Los AngelesDetails:,Negative,-0.2,['singer cuba gooding sr', 'los angelesdetails']
32,@dreaminjj,Cuba Gooding Jr.  Omar Gooding look JUST like their dad. My prayers go out to Cuba Gooding Sr.'s family during this di…,Neutral,0.0,['cuba gooding jr. omar gooding', 'just', 'cuba gooding sr.', "'s family"]
33,@youngcongo,Rest In Peace: Cuba Gooding Sr. Found Dead From Possible Drug Overdose,Negative,-0.1,['rest', 'cuba gooding sr. found dead', 'drug overdose']
34,@RealBrianMcRae,Cuba Gooding Sr. 70s Singer and Father to Cuba Jr. Dead at 72: Report,Negative,-0.2,['cuba gooding sr.', 'singer', 'father', 'cuba jr. dead']
35,@onlyymyaaa,Cuba Gooding Sr. chart-topping soul singer and father of Oscar-winning actor found dead in car.Rest in Power. We…,Negative,-0.2,['cuba gooding sr.', 'soul singer', 'oscar-winning', 'power', 'we…']
36,@x_xpalmer,Soul singer Cuba Gooding Sr. found dead in Woodland Hills,Negative,-0.2,['soul', 'cuba gooding sr.']
37,@TsewolePanseh,Ronda Rousey announces engagement Cuba Gooding Sr. found dead and more in entertainment - Press of Atlantic City…,Positive,0.15,['ronda rousey', 'announces engagement', 'cuba gooding sr.', 'atlantic city…']
38,@x_xpalmer,Cuba Gooding Sr soul singer known for 'Everybody Plays the Fool' found dead in car:,Negative,-0.2,['cuba gooding sr', 'soul singer', 'plays', 'fool']
39,@jayyanthony17,RIP to Cuba Gooding Sr. lead singer of 'The Main Ingredient' hit song 'Everybody Plays the Fool' father of Cuba Good…,Positive,0.16666666666666666,['rip', 'cuba gooding sr.', 'lead singer', 'ingredient', "song 'everybody", 'plays', 'fool', 'cuba good…']
40,@onlyymyaaa,Cuba Gooding Sr. was found dead in Los Angeles at 72 reports say.,Negative,-0.2,['cuba gooding sr.', 'los angeles']
41,@e99c07ccfb97417,Singer Cuba Gooding Sr. the lead singer of The Main Ingredient and best known for the '72 hit Everybody Plays the Fool is de…,Positive,0.5833333333333334,['singer cuba gooding sr.', 'lead singer', 'ingredient', 'plays', 'fool']
42,@x_xpalmer,Cuba Gooding Sr. Star Of The Main Ingredient Dies At 72,Positive,0.16666666666666666,['cuba gooding sr.', 'ingredient dies']
43,@juanjjohnson,TJI: News in the Reverse. REAL TALK,Positive,0.2,['tji', 'reverse', 'real talk']
44,@Tony_Binks,RIP Cuba Gooding Sr. Lead singer on two of my fave songs -Just Don't Wanna Be Lonely and Everybody Plays The Fool by Th…,Negative,-0.09999999999999998,['rip cuba gooding sr. lead', 'fave songs -just', 'wan', 'be lonely', 'plays', 'fool', 'th…']
45,@RudysWifey74,God gave him a very unique voice that will continue flow from the airwaves. Thanks for sharing your gift w/us.,Positive,0.34375,['god', 'unique voice', 'thanks', 'gift w/us']
46,@lionsfansince70,Cuba Gooding Sr. who sang the 1972 hit "Everybody Plays the Fool" has died.,Neutral,0.0,['cuba gooding sr.', 'plays', 'fool']
47,@pakovgt63,Soul singer Cuba Gooding Sr. 72 found dead inside car in Woodland Hills,Negative,-0.2,['soul', 'cuba gooding sr.']
48,@KurtBelcher,Soul Singer Cuba Gooding Sr. Found Dead in His Car,Negative,-0.2,['soul singer cuba gooding sr. found dead', 'car']
49,@x_xpalmer,Rest in peace to soul singer Cuba Gooding Sr. who was found dead at the age of 72:,Negative,-0.2,['rest', 'soul singer', 'cuba gooding sr.']
50,@TylerNoble98,Soul singer Cuba Gooding Sr. found dead in Woodland Hills,Negative,-0.2,['soul', 'cuba gooding sr.']
51,@MarinaDReyPatch,Cuba Gooding Sr.'s Body Found in Car in Woodland Hills Coroner Confirms,Neutral,0.0,['cuba gooding sr.', 'body found', 'car', 'coroner confirms']
52,@DeyaniraRoman49,Cuba Gooding Sr. murdered April 20 2017 +April Fools 4/20 MLB Baseball  Jr.,Neutral,0.0,['cuba gooding sr.', 'april', 'fools', 'mlb', 'jr']
53,@NickRojasVO,Cuba Gooding Sr. 70s Singer and Father to Cuba Jr. Dead at 72 via,Negative,-0.2,['cuba gooding sr.', 'singer', 'father', 'cuba jr. dead']
54,@StaMonicaPatch,Cuba Gooding Sr.'s Body Found in Car in Woodland Hills Coroner Confirms,Neutral,0.0,['cuba gooding sr.', 'body found', 'car', 'coroner confirms']
55,@azurepitts,Cuba Gooding Sr. was found dead in Los Angeles at 72 reports say.,Negative,-0.2,['cuba gooding sr.', 'los angeles']
56,@TrivWorks,RIP Cuba Gooding Sr. - father of Jr.  legendary frontman of The Main Ingredient,Positive,0.5833333333333334,['rip cuba gooding sr.', 'jr.', 'legendary frontman', 'ingredient']
57,@DrHookOfficial,RIP Cuba Gooding Sr. Lead singer on two of my fave songs -Just Don't Wanna Be Lonely and Everybody Plays The Fool by The Main Ingredient.🎱~,Positive,0.03333333333333334,['rip cuba gooding sr. lead', 'fave songs -just', 'wan', 'be lonely', 'plays', 'fool', 'ingredient.🎱~']
58,@melaninspice,Cuba Gooding Sr. was found dead in Los Angeles at 72 reports say.,Negative,-0.2,['cuba gooding sr.', 'los angeles']
59,@Chicago_CP,Cuba Gooding Sr soul singer known for 'Everybody Plays the Fool' found dead in car,Negative,-0.2,['cuba gooding sr', 'soul singer', 'plays', 'fool']
60,@Piel_moreno_1,Cuba Gooding Sr. was the lead singer of the group 'The Main Ingredient'. Here's a clip of him performance on Soul Train…,Positive,0.16666666666666666,['cuba gooding sr.', 'lead singer', "group 'the", 'ingredient', 'soul train…']
61,@_MadMAX,RIP: Cuba Gooding Sr. Dead at 72 Possible Overdose.,Negative,-0.1,['rip', 'cuba gooding sr. dead', 'overdose']
62,@closerweekly,RIP: has sadly died at age 72,Negative,-0.5,['rip']
63,@nightnurse38,Main Ingredient Singer Cuba Gooding Sr. Father of Cuba Jr. Found Dead In Car - Atlanta Black Star,Negative,-0.06666666666666667,['ingredient singer cuba gooding sr. father', 'cuba jr. found dead', 'car', 'atlanta black']
64,@ILoveFatGirls1K,Cuba Gooding Sr. Found dead in his car at age 72.,Negative,-0.2,['cuba gooding sr. found']
65,@bradleybeast,Singer Cuba Gooding Sr found dead in car in Los AngelesDetails:,Negative,-0.2,['singer cuba gooding sr', 'los angelesdetails']
66,@LionassNikki,Heartfelt condolences 2 the family of Cuba Gooding Sr. He was a wonderful talent who sang from the 💜 u could always feel it…,Positive,0.5,['heartfelt', 'cuba gooding sr', 'wonderful talent', '💜 u']
67,@_Mackieso,RIP to Cuba Gooding Sr. lead singer of 'The Main Ingredient' hit song 'Everybody Plays the Fool' father of Cuba Good…,Positive,0.16666666666666666,['rip', 'cuba gooding sr.', 'lead singer', 'ingredient', "song 'everybody", 'plays', 'fool', 'cuba good…']
68,@Chuck_mate_,Soul singer Cuba Gooding Sr. 72 found dead inside car in Woodland Hills,Negative,-0.2,['soul', 'cuba gooding sr.']
69,@MellowareBlak35,God gave him a very unique voice that will continue flow from the airwaves. Thanks for sharing your gift w/us.,Positive,0.34375,['god', 'unique voice', 'thanks', 'gift w/us']
70,@TMolett,Wow...rip cuba gooding sr.,Neutral,0.0,['wow', '... rip cuba']
71,@HandsumJohnson,Cuba Gooding Jr.  Omar Gooding look JUST like their dad. My prayers go out to Cuba Gooding Sr.'s family during this di…,Neutral,0.0,['cuba gooding jr. omar gooding', 'just', 'cuba gooding sr.', "'s family"]
72,@JnJFarmKY,Cuba Gooding Sr. found dead in his car via the Android app,Negative,-0.2,['cuba gooding sr.', 'android']
73,@TalesOfAMusicMa,Cuba Gooding Sr. 'Everybody Plays the Fool' Singer  Dad to Oscar-Winning Actor Dies at 72: Report,Neutral,0.0,['cuba gooding sr.', 'plays', 'fool', 'singer dad', 'oscar-winning actor dies']
74,@ComeliaShawnae,Cuba Gooding Sr. Found dead in his car at age 72.,Negative,-0.2,['cuba gooding sr. found']
75,@DonnieSimpson,God gave him a very unique voice that will continue flow from the airwaves. Thanks for sharing your gift w/us.,Positive,0.34375,['god', 'unique voice', 'thanks', 'gift w/us']
76,@lmfanelli,Cuba Gooding Sr. Dead at 72 Possible Overdose,Negative,-0.1,['cuba gooding sr. dead', 'overdose']
77,@_Lauroooo,Cuba Gooding Sr. Grammy-nominated singer of “Everybody Plays the Fool” dead at,Negative,-0.2,['cuba gooding sr. grammy-nominated', 'plays', 'fool”']
78,@cassyocon3913,Cuba Gooding Sr. found dead in his car,Negative,-0.2,['cuba gooding sr.']
79,@_TDionne,Cuba Gooding Sr. was the lead singer of the group 'The Main Ingredient'. Here's a clip of him performance on Soul Train…,Positive,0.16666666666666666,['cuba gooding sr.', 'lead singer', "group 'the", 'ingredient', 'soul train…']
80,@jackiebrown2,Cuba Gooding Sr. 'Everybody Plays the Fool' Singer  Dad to Oscar-Winning Actor Dies at 72: Report,Neutral,0.0,['cuba gooding sr.', 'plays', 'fool', 'singer dad', 'oscar-winning actor dies']
81,@alaskarebel,RB Soul Singer Cuba Gooding Sr. Dies,Neutral,0.0,['rb soul singer cuba gooding sr', 'dies']
82,@RodsevichM,nprmusic: Soul singer Cuba Gooding Sr. -- lead vocalist of The Main Ingredient  father to the actor -- has di…,Positive,0.16666666666666666,['soul', 'cuba gooding sr.', 'lead vocalist', 'ingredient']
83,@WilliamsKermit,Soul singer Cuba Gooding Sr. found dead in car,Negative,-0.2,['soul', 'cuba gooding sr.']
84,@slish_infashion,Rest In Peace: Cuba Gooding Sr. Found Dead From Possible Drug Overdose,Negative,-0.1,['rest', 'cuba gooding sr. found dead', 'drug overdose']
85,@izaeah,Cuba Gooding Sr. was the lead singer of the group 'The Main Ingredient'. Here's a clip of him performance on Soul Train…,Positive,0.16666666666666666,['cuba gooding sr.', 'lead singer', "group 'the", 'ingredient', 'soul train…']
86,@MusicPlaceNSpac,Thank you for the music. RIPCuba Gooding Sr. Main Ingredient Singer Dead at 72 via,Negative,-0.016666666666666677,['thank', 'ripcuba gooding sr.', 'ingredient singer dead']
87,@DeanReist,Soul singer Cuba Gooding Sr. -- lead vocalist of The Main Ingredient  father to the actor -- has died:,Positive,0.16666666666666666,['soul', 'cuba gooding sr.', 'lead vocalist', 'ingredient']
88,@ProducerBooster,Cuba Gooding Sr Soul Singer and Father of Cuba Gooding Jr Found Dead,Negative,-0.2,['cuba gooding sr soul singer', 'father', 'cuba gooding jr found dead']
89,@steviexmcfly,I remember once Cuba Gooding Sr. talking to strangers on a bench about his son like any regular proud parent. This was 2015 or 2016.,Positive,0.4,['cuba gooding sr.', 'regular proud parent']
90,@JonathanRPMS,Cuba Gooding Sr. a popular soul singer and father to Cuba Gooding Jr has died. He was 72.,Positive,0.6,['cuba gooding sr.', 'popular soul singer', 'cuba gooding jr']
91,@theopendaily,Soul singer Cuba Gooding Sr. 72 found dead inside car in Woodland Hills,Negative,-0.2,['soul', 'cuba gooding sr.']
92,@theopendaily,Soul singer Cuba Gooding Sr. 72 found dead inside car in Woodland Hills,Negative,-0.2,['soul', 'cuba gooding sr.']
93,@ToneishaBen,70s Soul singer Cuba Gooding Sr. lead vocalist for The Main Ingredient found dead in a car in Los Angeles,Negative,-0.016666666666666677,['soul', 'cuba gooding sr.', 'lead vocalist', 'ingredient', 'los angeles']
94,@TerikaJackson,70s Soul singer Cuba Gooding Sr. lead vocalist for The Main Ingredient found dead in a car in Los Angeles,Negative,-0.016666666666666677,['soul', 'cuba gooding sr.', 'lead vocalist', 'ingredient', 'los angeles']
95,@dane001,Sorry to hear about Mr Cuba Gooding Sr. May he R. I. P Our condolences to the Gooding Family#CubaGoodingSr,Negative,-0.5,['sorry', 'mr cuba gooding sr. may', 'r. i. p', 'gooding', 'family #', 'cubagoodingsr']
96,@1031WEUP,Cuba Gooding Jr’s Father Found Dead Overdose Suspected - Cuba Gooding Sr. singer and father to Oscar-winnin...,Negative,-0.2,['cuba gooding jr’s father found dead overdose suspected', 'cuba gooding sr.', 'oscar-winnin']
97,@soulonice13,RIP to Cuba Gooding Sr. lead singer of 'The Main Ingredient' hit song 'Everybody Plays the Fool' father of Cuba Gooding Jr…,Positive,0.16666666666666666,['rip', 'cuba gooding sr.', 'lead singer', 'ingredient', "song 'everybody", 'plays', 'fool', 'cuba gooding jr…']
98,@TyeeeBeee,Cuba Gooding Sr. was the lead singer of the group 'The Main Ingredient'. Here's a clip of him performance on Soul Train…,Positive,0.16666666666666666,['cuba gooding sr.', 'lead singer', "group 'the", 'ingredient', 'soul train…']
99,@indomie_baby,RIP to Cuba Gooding Sr. lead singer of 'The Main Ingredient' hit song 'Everybody Plays the Fool' father of Cuba Good…,Positive,0.16666666666666666,['rip', 'cuba gooding sr.', 'lead singer', 'ingredient', "song 'everybody", 'plays', 'fool', 'cuba good…']
100,@AmyahBeard,Cuba Gooding Jr.  Omar Gooding look JUST like their dad. My prayers go out to Cuba Gooding Sr.'s family during this di…,Neutral,0.0,['cuba gooding jr. omar gooding', 'just', 'cuba gooding sr.', "'s family"]
