index,author,tweet,label,polarity,nouns
67,@surajhindustan3,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
68,@nauleshkumarsin,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
69,@Truelovf,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
70,@web_work_,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
71,@yadavrajnish761,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
72,@oment__raj,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
73,@thefunnysposts,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
74,@vibhuvibhu57,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
75,@thingsofact,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
76,@SumanKu06046771,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
77,@thewigged,The Cure is MANiCURE's sequel!"If you can't pedicure I'll I'll fix you with my love""Promise I pedicure!",Positive,0.625,['cure', 'manicure', "'s sequel", "ca n't pedicure", "'ll fix", 'promise']
78,@storyoffact,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
79,@mrs_lovelysingh,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
80,@Mylikestweet1,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
81,@mykaljackson42,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
82,@mewisepost,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
83,@Monti_dudu,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
84,@mithlesh__,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
85,@mindconsole_,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
86,@masivethoughts,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
87,@marrigold5,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
88,@Mayank100k,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
89,@MaclenTaco,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
90,@mahimarani21,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
91,@shrutidarling2,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
92,@ranilikes,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
93,@mannara13,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
94,@lovesecret0401,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
95,@lovezone_,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
96,@loveraj_lucky,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
97,@sanojisla123,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
98,@ruhiraj11,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
99,@rajsonu0096,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
100,@theGirlMob,Trump just tweeted that it's ridiculous to hold him to a standard of getting stuff done the first 100 days. THIS was his o…,Negative,-0.027777777777777773,['trump', 'this']
