index,author,tweet,label,polarity,nouns
1,@WMUR9,Cuba Gooding Sr. found dead at 72,Negative,-0.2,['cuba gooding sr.']
2,@wdsu,Cuba Gooding Sr. found dead at 72,Negative,-0.2,['cuba gooding sr.']
18,@wiseman400,Sad to hear that Cuba Gooding Snr former vocalist in Main Ingredient has passed aged 72:,Negative,-0.10833333333333334,['sad', 'cuba gooding snr', 'ingredient']
19,@So_MJackson,RIP to Cuba Gooding Sr. lead singer of 'The Main Ingredient' hit song 'Everybody Plays the Fool' father of Cuba Good…,Positive,0.16666666666666666,['rip', 'cuba gooding sr.', 'lead singer', 'ingredient', "song 'everybody", 'plays', 'fool', 'cuba good…']
20,@iLuvaCuba,Cuba Gooding Sr. dead at 72,Negative,-0.2,['cuba gooding sr.']
21,@BlkPanta,We extend our deepest condolences to the family of Cuba Gooding Sr. in his passing. ❤,Neutral,0.0,['deepest condolences', 'cuba gooding sr.']
22,@fati1011,Reports: Cuba Gooding Sr. Oscar winner's dad dies,Neutral,0.0,['cuba gooding sr. oscar', "winner 's dad"]
23,@TNaKey_Ky,Cuba Gooding Sr. Has Died Of A Possible Overdose,Neutral,0.0,['cuba gooding sr.', 'died', 'overdose']
24,@big95kbgo,Soul legend Cuba Gooding Sr. of The Main Ingredient has died at 73.,Positive,0.16666666666666666,['soul', 'cuba gooding sr.', 'ingredient']
25,@randomrisk,Cuba Gooding Sr. singer and father of Oscar-winning actor found dead in car,Negative,-0.2,['cuba gooding sr.', 'oscar-winning']
26,@simply_bunni,RIP to Cuba Gooding Sr. lead singer of 'The Main Ingredient' hit song 'Everybody Plays the Fool' father of Cuba Good…,Positive,0.16666666666666666,['rip', 'cuba gooding sr.', 'lead singer', 'ingredient', "song 'everybody", 'plays', 'fool', 'cuba good…']
27,@YourNewsTweet,- Reports: Cuba Gooding Sr. Oscar winner's dad dies,Neutral,0.0,['cuba gooding sr. oscar', "winner 's dad"]
28,@steventeaster,Cuba Gooding Sr. Found Dead in Car in Woodland Hills,Negative,-0.2,['cuba gooding sr. found dead', 'car']
29,@swengenusa,Reports: Cuba Gooding Sr. Oscar winner's dad dies,Neutral,0.0,['cuba gooding sr. oscar', "winner 's dad"]
30,@Tom__Coleman,Reports: Cuba Gooding Sr. Oscar winner's dad dies,Neutral,0.0,['cuba gooding sr. oscar', "winner 's dad"]
31,@melissmcmlx,RIP Cuba Gooding Sr. Prayers to the family.,Neutral,0.0,['rip cuba gooding sr. prayers']
32,@big923radio,Cuba Gooding Sr. 'Everybody Plays the Fool' Singer  Dad to Oscar-Winning Actor Dies at 72 via,Neutral,0.0,['cuba gooding sr.', 'plays', 'fool', 'singer dad', 'oscar-winning actor dies']
33,@Flask_Gordon,Cuba Gooding Sr. singer and father of Oscar-winning actor has been found dead in his car in Los Angeles,Negative,-0.2,['cuba gooding sr.', 'oscar-winning', 'los angeles']
34,@Accra1005fm,Cuba Gooding Sr.the father of the Oscar-winning actor was allegedly found dead in his silver Jaguar in San...,Negative,-0.15000000000000002,['cuba gooding sr.the', 'oscar-winning', 'jaguar', 'san']
35,@bewyn,Cuba Gooding Sr. singer and father of Oscar-winning actor has been found dead in his car in Los Angeles,Negative,-0.2,['cuba gooding sr.', 'oscar-winning', 'los angeles']
36,@DonJahlil,Cuba Gooding Jr.  Omar Gooding look JUST like their dad. My prayers go out to Cuba Gooding Sr.'s family during this di…,Neutral,0.0,['cuba gooding jr. omar gooding', 'just', 'cuba gooding sr.', "'s family"]
37,@DJReeRee,Singer Cuba Gooding Sr. dies at 72,Neutral,0.0,['singer cuba gooding sr.']
38,@Darwin_Ivey,Soul singer Cuba Gooding Sr. found dead in Woodland Hills,Negative,-0.2,['soul', 'cuba gooding sr.']
39,@BangorInsider,In the news: Soul singer Cuba Gooding Sr. 72 found dead,Negative,-0.2,['soul', 'cuba gooding sr.']
40,@Stacysmusic,RIP Cuba Gooding Sr. lead singer of The Main Ingedient.,Positive,0.16666666666666666,['rip cuba gooding sr.', 'lead singer', 'ingedient']
41,@ketchadesign,The Main Ingredient  the lead singer Cuba Gooding Sr. is father.So surprised I'm just…,Positive,0.13333333333333333,['ingredient', 'lead singer', 'cuba gooding sr.', "'m just…"]
42,@taulukos,“Everybody Plays The Fool” -- The MIn Ingredient #RIP Cuba Gooding Sr.,Neutral,0.0,['plays', 'fool”', 'min ingredient', 'rip cuba gooding sr']
43,@rdwoolf,“Everybody Plays The Fool” -- The MIn Ingredient #RIP Cuba Gooding Sr.,Neutral,0.0,['plays', 'fool”', 'min ingredient', 'rip cuba gooding sr']
44,@ChocolatMocha,Soul Singer Cuba Gooding Sr. Found Dead in His Car,Negative,-0.2,['soul singer cuba gooding sr. found dead', 'car']
45,@Mangoluu,Cuba Gooding Sr. Has Died Of A Possible Overdose,Neutral,0.0,['cuba gooding sr.', 'died', 'overdose']
46,@KarmaSutraSoul,.@YouTube Cuba Gooding Sr. you will be missed (NMRK),Neutral,0.0,['youtube cuba gooding sr.', 'nmrk']
47,@JMiltonKey,So sad to to be the Bearer Of Bad News!#RIPCubaGoodingSr.@ 72.#Condolences to the,Negative,-0.5999999999999999,['bearer', 'ripcubagoodingsr', '@ 72. #', 'condolences']
48,@AtlantaInMotion,Singer Cuba Gooding Sr. found dead in car in Los Angeles,Negative,-0.2,['singer cuba gooding sr.', 'los angeles']
49,@ChillWillNupe88,Cuba Gooding Sr. Has Died Of A Possible Overdose,Neutral,0.0,['cuba gooding sr.', 'died', 'overdose']
50,@mzcaroljean,Cuba Gooding Sr. singer and father of Oscar-winning actor has been found dead in his car in Los Angeles,Negative,-0.2,['cuba gooding sr.', 'oscar-winning', 'los angeles']
51,@DaryelJay,Soul singer Cuba Gooding Sr. Dead at 72 - Sending prayers out to  Family. R.I.P CGS,Negative,-0.2,['soul', 'cuba gooding sr. dead', 'sending', 'r.i.p cgs']
52,@NewsFlashOMG,Reports: Cuba Gooding Sr. Oscar winner’s dad dies,Neutral,0.0,['cuba gooding sr. oscar', 'winner’s dad']
53,@vannman231st,Cuba Gooding Sr. Dead at 72 Possible Overdose,Negative,-0.1,['cuba gooding sr. dead', 'overdose']
54,@PHATKINGSHIPHOP,Cuba Gooding Sr the lead singer of 70s soul group Main Ingredient and father of actor Cuba…,Positive,0.16666666666666666,['cuba gooding sr', 'lead singer', '70s soul group', 'ingredient', 'cuba…']
55,@enablerofhope,R.I.P. Cuba Gooding Sr.#MainIngredient,Neutral,0.0,['r.i.p', 'cuba gooding sr.', 'mainingredient']
56,@rjack2136,Reports: Cuba Gooding Sr. Oscar winner's dad dies,Neutral,0.0,['cuba gooding sr. oscar', "winner 's dad"]
57,@Uskeus,Reports: Cuba Gooding Sr. Oscar winner's dad dies,Neutral,0.0,['cuba gooding sr. oscar', "winner 's dad"]
58,@tiwana_x,Cuba Gooding Sr. Found dead in his car at age 72.,Negative,-0.2,['cuba gooding sr. found']
59,@braimahake,Cuba Gooding Sr. dead at 72 of possible overdose,Negative,-0.1,['cuba gooding sr.', 'possible overdose']
60,@McKinsonGallery,Main Ingredient - Just Don't Want to be Lonely Cuba Gooding Sr.,Positive,0.03333333333333334,['ingredient', 'want', 'lonely cuba gooding sr']
61,@ColumbusBlack,Cuba Gooding Sr. Has Died Of A Possible Overdose,Neutral,0.0,['cuba gooding sr.', 'died', 'overdose']
62,@GrimReaprReport,So sad to to be the Bearer Of Bad News!#RIPCubaGoodingSr.@ 72.#Condolences to the,Negative,-0.5999999999999999,['bearer', 'ripcubagoodingsr', '@ 72. #', 'condolences']
63,@CDNCommunity,[Entertainment]-Soul singer Cuba Gooding Sr. dead at 72,Negative,-0.2,['entertainment', '] -soul singer', 'cuba gooding sr.']
64,@GNettles_1916,RIP Cuba Gooding Sr. lead singer of The Main Ingedient.,Positive,0.16666666666666666,['rip cuba gooding sr.', 'lead singer', 'ingedient']
65,@HoeItsRoCuervo,Body of singer Cuba Gooding Sr. found in Woodland Hills. Death investigation underway.,Neutral,0.0,['body', 'cuba gooding sr.', 'death', 'investigation underway']
66,@Sidra_tm,Cuba Gooding Sr. RB soul singer dead at 72,Negative,-0.2,['cuba gooding sr. rb', 'soul singer']
67,@BuggyEmerson,Cuba Gooding Sr. a popular soul singer and father to Cuba Gooding Jr has died. He was 72.,Positive,0.6,['cuba gooding sr.', 'popular soul singer', 'cuba gooding jr']
68,@BKells8,Cuba Gooding Sr. singer of 1972 hit "Everybody Plays the Fool" and father of actor Cuba Gooding Jr. dies at age 72,Neutral,0.0,['cuba gooding sr.', 'plays', 'fool', 'cuba gooding jr.']
69,@MizDriverJames,RIP Cuba Gooding Sr. lead singer of The Main Ingedient.,Positive,0.16666666666666666,['rip cuba gooding sr.', 'lead singer', 'ingedient']
70,@Spatula8,Soul singer Cuba Gooding Sr. found dead in Woodland,Negative,-0.2,['soul', 'cuba gooding sr.']
71,@Chocolate_Nerd,Cuba Gooding Sr. Has Died Of A Possible Overdose,Neutral,0.0,['cuba gooding sr.', 'died', 'overdose']
72,@Rilniga2001,Cuba Gooding Sr. reportedly found dead at 72,Negative,-0.2,['cuba gooding sr.']
73,@Missde23Sugar,BREAKING NEWS: Cuba Gooding Sr. soul singer and father of found dead. He was the 72.,Negative,-0.2,['breaking news', 'cuba gooding sr.', 'soul singer']
74,@emmanuelsblog,Soul Singer Cuba Gooding Sr. Found Dead In His Car,Negative,-0.2,['soul singer cuba gooding sr. found dead', 'car']
75,@Iggy,Cuba Gooding Sr. reportedly found dead in his car,Negative,-0.2,['cuba gooding sr.']
76,@chance4gardener,Cuba Gooding Sr. singer and father of Oscar-winning actor has been found dead in his car in Los Angeles,Negative,-0.2,['cuba gooding sr.', 'oscar-winning', 'los angeles']
77,@3rdWorldSun,Singer Cuba Gooding Sr. died today at the age of 72.,Neutral,0.0,['singer cuba gooding sr.']
78,@HillaryKenyon,Cuba Gooding Sr. singer of 1972 hit "Everybody Plays the Fool" and father of actor Cuba Gooding Jr. dies at age 72,Neutral,0.0,['cuba gooding sr.', 'plays', 'fool', 'cuba gooding jr.']
79,@3rdWorldSun,Soul singer Cuba Gooding Sr. reportedly died of an overdose:,Neutral,0.0,['soul', 'cuba gooding sr.']
80,@MiamiMetropolis,Cuba Gooding Sr found dead in LA,Negative,-0.2,['cuba gooding sr', 'la']
81,@McKinsonGallery,R.I.P Cuba Gooding Sr.,Neutral,0.0,['r.i.p cuba gooding sr']
82,@_CindyBuzz_,R.I.P Cuba Gooding Sr.. the 72 year old soul singer was found unresponsive this morning in his…,Positive,0.1,['r.i.p cuba gooding sr..', 'old soul singer']
83,@3rdWorldSun,Body Of Singer Cuba Gooding Sr. Found In Car In Los Angeles,Neutral,0.0,['body', 'singer cuba gooding sr. found', 'car', 'los angeles']
84,@coliegolightly,Cuba Gooding Sr. found dead at 72,Negative,-0.2,['cuba gooding sr.']
85,@Space_Jamm11,Cuba Gooding Sr. chart-topping soul singer and father of Oscar-winning actor found dead in car.Rest in Power. We…,Negative,-0.2,['cuba gooding sr.', 'soul singer', 'oscar-winning', 'power', 'we…']
86,@DatzHott,Cuba Gooding Sr. reportedly found dead at 72,Negative,-0.2,['cuba gooding sr.']
87,@bell_tre,Cuba Gooding Jr's father was found slumped over in his car Thursday afternoon in San Fernando,Neutral,0.0,['cuba gooding jr', "'s father", 'san fernando']
88,@Iggy,Cuba Gooding Sr. Dead at 72 Possible Overdose,Negative,-0.1,['cuba gooding sr. dead', 'overdose']
89,@tharealestdboe,Cuba Gooding Sr. was the lead singer of the group 'The Main Ingredient'. Here's a clip of him performance on Soul Train…,Positive,0.16666666666666666,['cuba gooding sr.', 'lead singer', "group 'the", 'ingredient', 'soul train…']
90,@ghers2686,Cuba Gooding Sr. singer of 1972 hit "Everybody Plays the Fool" and father of actor Cuba Gooding Jr. dies at age 72,Neutral,0.0,['cuba gooding sr.', 'plays', 'fool', 'cuba gooding jr.']
91,@NightFlyer48,Cuba Gooding Sr. singer of 1972 hit "Everybody Plays the Fool" and father of actor Cuba Gooding Jr. dies at age 72,Neutral,0.0,['cuba gooding sr.', 'plays', 'fool', 'cuba gooding jr.']
92,@jadabetafish,RIP Cuba Gooding Sr.: The "Everybody Plays the Fool" singer  dad to Oscar-winning actor has died at 72,Neutral,0.0,['rip cuba gooding sr.', 'plays', 'fool', 'singer dad', 'oscar-winning']
93,@LittleOwl1985,Cuba Gooding Sr. singer of 1972 hit "Everybody Plays the Fool" and father of actor Cuba Gooding Jr. dies at age 72,Neutral,0.0,['cuba gooding sr.', 'plays', 'fool', 'cuba gooding jr.']
94,@Ceo_UnkutCain,*Rest In Heaven* Prayers Up BREAKING: Cuba Gooding Sr. Dead At 72 via,Negative,-0.2,['heaven* prayers up breaking', 'cuba gooding sr. dead']
95,@colourfulradio,Cuba Gooding Sr. Dead at 72 Possible Overdose via,Negative,-0.1,['cuba gooding sr. dead', 'overdose']
96,@Allgeekthings,Cuba Gooding Sr. singer and father of Oscar-winning actor has been found dead in his car in Los Angeles,Negative,-0.2,['cuba gooding sr.', 'oscar-winning', 'los angeles']
97,@HatTrixMedia,Cuba Gooding Sr. the father of the Oscar-winning actor was found dead in his car today,Negative,-0.2,['cuba gooding sr.', 'oscar-winning']
98,@Lil_ShotCaller,Cuba Gooding Sr. I loved his singing of "Everybody Plays The Fool." The first time l heard it was on a partly cloudy…,Positive,0.475,['cuba gooding sr', 'plays', 'fool', 'time l']
99,@LenaSG1,Cuba Gooding Sr. singer of 1972 hit "Everybody Plays the Fool" and father of actor Cuba Gooding Jr. dies at age 72,Neutral,0.0,['cuba gooding sr.', 'plays', 'fool', 'cuba gooding jr.']
100,@UrbanGem,Cuba Gooding Sr. Has Died Of A Possible Overdose,Neutral,0.0,['cuba gooding sr.', 'died', 'overdose']
