index,author,tweet,label,polarity,nouns
71,@justfallin_love,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
72,@kumarkush2001,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
73,@just_lovforever,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
74,@lover9504,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
75,@lets_tweet01,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
76,@krishanabhavan2,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
77,@Locman10,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
78,@laurel9504,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
79,@Lays16708974,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
80,@jhongovindbaba1,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
81,@lovelifeline_,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
82,@Lovebird386,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
83,@joy_reacher,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
84,@lovee2diee,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
85,@_saimathought,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
86,@Justinl12321926,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
87,@khaitan_fan,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
88,@justin_beber12,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
89,@Aircel61140268,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
90,@lovepoint09,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
91,@ajeetyadav14695,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
92,@_sandy_girls,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
93,@_atypicalsgirls,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
94,@_sukeshkumar,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
95,@letap1211,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
96,@_onlyfunnytweet,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
97,@adityaraj9504a,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
98,@akumar_rt,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
99,@aisha7352100522,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
100,@amazingsthought,REMEMBER THE PROMISE MIA KHALIFA MADE ABOUT DONALD TRUMP’S,Neutral,0.0,['remember the promise mia khalifa made about donald trump’s']
